sk_ramo_atividade,etl_versao,etl_dt_inicio,etl_dt_fim,nk_ramo_atividade,de_ramo_atividade,de_ramo_atividade_cnae,de_divisoes_cnae,cd_cnae
0,1,,,                                                               ,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,  
1,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0111301                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
2,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0111302                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
3,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0111303                                                        ,CULTIVO DE TRIGO                                                                                                                                                                                                                                          ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
4,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0111399                                                        ,CULTIVO DE MANDIOCA                                                                                                                                                                                                                                       ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
5,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0112101                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
6,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0112199                                                        ,CULTIVO DE EUCALIPTO                                                                                                                                                                                                                                      ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
7,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0113000                                                        ,COLETA DE CASTANHADOPARA EM FLORESTAS NATIVAS                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
8,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0115600                                                        ,CULTIVO DE SOJA                                                                                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
9,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0116401                                                        ,CULTIVO DE SOJA                                                                                                                                                                                                                                           ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
10,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0116499                                                        ,CULTIVO DE OUTRAS FIBRAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE                                                                                                                                                                            ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
11,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119904                                                        ,CRIACAO DE BOVINOS PARA CORTE                                                                                                                                                                                                                             ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
12,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119905                                                        ,CULTIVO DE MILHO                                                                                                                                                                                                                                          ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
13,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119906                                                        ,CULTIVO DE MANDIOCA                                                                                                                                                                                                                                       ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
14,1,2020/01/01 00:00:00.000,2021/12/31 23:59:59.999,0119908                                                        ,CULTIVO DE OUTROS CEREAIS NAO ESPECIFICADOS ANTERIORMENTE                                                                                                                                                                                                 ,PRODUTOS DE AGROPECUARIA                                                                                                                                                                                                                                  ,"AGRICULTURA, PECUARIA E SERVICOS RELACIONADOS                                                                                                                                                                                                             ",01
