vl_total_veiculos_antt,vl_total_veiculos_leves,vl_total_pesados,fl_optante_simples,qt_filial,ft_optante_simei,sk_localidade,sk_natureza_juridica,sk_nivel_atividade,sk_empresa,sk_saude_tributaria
,,,0,,0,1,2,1,6677,4
,,,0,,0,2,2,4,5142,1
,,,0,,0,3,2,2,7042,3
,,,1,,0,4,1,1,1515,4
,,,0,,0,5,2,1,6924,5
,,,1,,0,6,1,1,7662,4
,,,0,,0,7,1,2,9866,3
,,,0,,0,8,1,2,9868,3
,1,0,0,,0,9,4,1,4074,4
,,,0,,0,10,2,4,1264,2
,,,0,,0,11,15,4,3524,1
,,,0,,0,12,1,1,6850,2
,,,0,,0,13,2,2,7668,3
,,,0,,0,14,1,4,3071,1
,,,0,,0,15,2,2,5774,3
,,,0,,0,16,2,2,1565,3
,25,14,0,1,0,17,2,4,7029,1
,,,0,,0,18,2,4,5242,4
,2,6,0,,0,19,2,4,1662,1
,,,0,,0,20,6,4,4089,4
,,,0,,0,21,2,1,6663,4
,,,0,,0,22,2,2,8,3
,,,0,,0,23,2,1,3254,4
,,,0,,0,24,2,1,7355,1
,,,0,,0,25,2,4,4371,4
,,,0,,0,26,2,2,1320,3
,,,0,2,0,91,2,1,4112,6
,,,1,,0,28,2,1,8281,5
,,,0,,0,29,1,3,7302,5
,,,0,,0,30,1,2,9672,3
,,,1,,0,31,2,1,6716,4
,,,0,,0,32,1,2,4386,4
,2,3,0,,0,33,2,4,2306,4
,,,0,,0,34,1,1,2435,5
,,,0,,0,35,1,1,4296,1
,,,0,,0,36,2,2,7044,3
,,,0,,0,37,4,2,5185,3
,,,0,,0,38,12,1,8276,5
,,,0,,0,39,1,1,3713,2
,,,1,,0,40,2,1,1505,4
,,,0,,0,41,1,3,1510,5
,,,0,,0,42,2,2,2200,3
,,,0,,0,43,2,2,8358,3
,,,0,,0,44,2,2,9308,3
,,,0,,0,45,2,2,4908,3
,,,0,,0,46,2,1,8655,4
,,,0,,0,47,2,2,2769,3
,,,0,,0,48,2,2,9865,3
,,,0,,0,105,2,2,7036,3
,,,0,,0,50,1,2,5553,3
,,,0,,0,51,1,3,1064,5
,,,0,,0,52,15,5,1063,5
