nu_ordem,sk_empresa,sk_ramo_atividade
0,6677,347
0,5142,33
1,5142,389
2,5142,565
0,1515,165
0,6924,747
1,6924,751
2,6924,753
3,6924,759
4,6924,895
0,7662,334
1,7662,496
0,4074,779
0,1264,873
0,3524,752
0,6850,488
0,3071,476
0,7029,404
1,7029,406
2,7029,414
0,5242,799
0,1662,399
1,1662,400
2,1662,401
3,1662,402
4,1662,565
0,4089,701
1,4089,703
2,4089,704
3,4089,705
4,4089,706
0,6663,363
1,6663,469
0,3254,500
0,7355,500
0,4371,190
1,4371,231
2,4371,243
3,4371,251
4,4371,260
0,4112,127
1,4112,128
2,4112,129
0,8281,606
0,7302,418
0,9672,778
0,6716,512
1,6716,516
0,4386,149
1,4386,150
2,4386,238
3,4386,244
4,4386,334
0,2306,196
0,2435,107
1,2435,478
0,4296,534
0,8276,565
1,8276,724
2,8276,733
3,8276,739
0,3713,533
0,1505,478
0,1510,352
1,1510,353
2,1510,354
3,1510,355
0,8655,352
1,8655,353
2,8655,354
3,8655,355
0,5553,606
0,1064,488
0,1063,752
0,5390,485
0,7612,533
1,7612,534
0,1343,352
1,1343,353
2,1343,354
3,1343,355
4,1343,362
0,7622,538
0,7663,486
0,1266,476
0,4073,523
0,2904,397
0,354,647
0,7313,379
0,3806,756
0,3831,408
0,726,684
0,8061,338
1,8061,880
0,1844,380
0,8390,384
0,9579,478
0,9969,397
0,7048,406
0,5768,533
0,5751,533
0,5967,511
0,1797,580
0,8495,491
1,8495,538
0,6338,478
0,5405,550
1,5405,769
0,2056,686
0,6851,565
0,9257,346
1,9257,347
2,9257,352
3,9257,360
4,9257,362
0,96,476
0,7611,866
1,7611,869
2,7611,870
0,1244,404
0,6555,564
0,4090,846
0,5366,652
1,5366,712
2,5366,721
3,5366,722
4,5366,769
0,1807,514
0,6092,186
1,6092,550
2,6092,690
3,6092,698
4,6092,739
0,8930,655
0,1558,655
0,649,533
0,7962,478
0,5703,362
0,8988,510
0,8145,773
0,7623,770
0,2193,684
0,2899,506
1,2899,507
2,2899,508
0,2981,303
1,2981,318
0,4282,718
0,6975,744
1,6975,745
2,6975,746
0,5451,724
0,675,423
0,3707,478
1,3707,484
2,3707,611
0,9350,565
1,9350,566
0,4882,652
1,4882,712
2,4882,721
3,4882,722
4,4882,769
0,9694,391
0,2421,497
1,2421,502
0,8057,538
0,1025,752
0,6694,490
1,6694,517
2,6694,518
3,6694,530
0,3835,288
1,3835,290
2,3835,291
3,3835,292
0,8929,625
1,8929,690
2,8929,701
3,8929,708
4,8929,720
0,986,478
0,8418,486
0,7354,478
0,5280,550
0,2982,739
0,1798,130
0,2502,516
0,5176,303
1,5176,318
0,1791,692
0,8990,538
0,2902,495
1,2902,550
0,801,511
0,5769,752
0,8012,533
0,8078,486
0,276,866
1,276,869
2,276,870
0,4350,867
0,1555,486
0,4075,187
1,4075,213
2,4075,221
3,4075,565
0,4854,196
0,4875,533
0,9535,550
0,4370,550
0,8963,604
1,8963,606
0,3838,647
0,7696,319
1,7696,345
0,6086,494
0,3521,506
1,3521,533
0,9825,873
0,3710,533
0,9205,532
0,9801,767
0,9398,533
0,8755,377
0,1071,105
0,4934,426
1,4934,439
2,4934,451
3,4934,475
0,2057,677
1,2057,766
0,6973,505
0,7299,605
0,3249,795
0,1557,647
0,2436,533
0,5583,418
0,1830,811
0,2713,793
0,8652,352
1,8652,362
2,8652,490
3,8652,491
4,8652,538
0,983,547
0,9826,784
0,3802,533
0,7793,538
0,4375,130
0,3840,478
0,6558,530
1,6558,769
0,8010,303
1,8010,318
0,5708,516
1,5708,533
2,5708,534
0,2730,478
0,5767,319
1,5767,345
0,6361,644
1,6361,701
2,6361,722
3,6361,761
0,9303,362
0,355,867
0,4389,303
1,4389,318
0,6853,503
1,6853,646
2,6853,648
3,6853,795
4,6853,871
0,6935,519
0,6856,550
0,4937,500
0,9116,724
